seriesuid,coordX,coordY,coordZ,diameter_mm,probability
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-103.080921,153.1215677,-467.1247559,18.78631139,0.999991839
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-79.16712361,184.6817503,-467.997551,18.73336898,0.999818228
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-87.73307788,147.4306331,-398.9411163,18.79331429,0.999396323
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-71.51401149,141.3673589,-403.748642,18.76195566,0.987258897
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-55.33861952,128.0346427,-391.3264618,18.80502559,0.885911902
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,116.6472183,184.2690942,-443.3178101,18.75321469,0.796365484
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,108.5233138,71.88710964,-455.7576065,18.82652335,0.493287675
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,-38.6512013,191.7982159,-339.4743805,18.78968494,0.484276808
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,45.09020073,95.77022231,-371.6770935,18.83716362,0.39110306
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-85.94419685,-17.84647757,-53.5097278,18.72732121,0.995519549
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-89.80394609,-5.537096052,-82.00881609,18.78019434,0.983030502
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-98.20738342,58.00049739,-98.7305797,18.7502929,0.971459412
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,93.93619487,5.122725433,-17.3851932,18.78938263,0.948717341
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,138.076622,61.03884113,-197.6173747,18.74249658,0.946488674
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,110.4261844,-18.21333156,-37.14110979,18.80515526,0.92962975
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,125.1642401,-77.98863741,-185.5603755,18.81641438,0.911808785
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-82.18653674,-57.83974238,-62.11066851,18.87626026,0.820342662
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,81.6606983,-38.42542392,-165.9157432,18.81449334,0.804179802
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-38.22039648,-79.03027511,-74.12662157,18.8921396,0.801779232
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-54.27502328,-26.40640067,-174.1092647,18.90008407,0.794809158
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,56.68711172,85.95374305,-66.02452883,18.8315215,0.759649042
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,65.51297276,-70.83435065,-45.96700319,18.79835818,0.72676294
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-89.46838127,-42.1427845,-53.51237902,18.83280211,0.726308699
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-54.84545652,-78.60362328,-181.834761,18.78506263,0.668883358
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,109.707492,-58.72861827,-125.8943523,18.8486668,0.657198873
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,121.8777395,-30.40922746,-81.61529192,18.81392163,0.583422826
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,101.9623751,9.865200555,-22.0348514,18.85209861,0.57023741
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-82.38997123,69.18572527,-57.87868151,18.8777314,0.562165311
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-42.3919791,-14.70274505,-134.3546451,18.89504056,0.455444911
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-86.35307257,9.34101218,-170.0471939,18.91773973,0.38447878
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-86.51562348,-38.96999917,-50.30759462,18.83684278,0.369394965
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-46.73341578,-46.46853665,-41.71987185,18.76420553,0.369017953
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,140.7420915,58.23980859,-197.9727519,18.84749057,0.360653136
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-46.08235353,-18.61714551,-137.8943408,18.78600598,0.347816208
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-54.29722166,174.352519,-406.3059694,18.97846569,0.999990558
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,78.76295948,209.4467564,-465.3594439,18.92992566,0.999921135
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,117.8598633,145.2622099,-505.4112932,19.00040026,0.998032244
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-99.50008488,180.5157585,-498.5000002,18.94286688,0.995982881
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-75.78507757,64.54631519,-463.3452837,18.99929241,0.991781815
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,76.97863483,114.3194242,-378.5800631,18.95698186,0.988578017
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-86.86045504,162.1282978,-455.4330752,19.01916845,0.962474591
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,101.0162106,112.5826759,-410.6617891,18.9612998,0.958159695
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,60.50450706,197.1843882,-514.3109286,19.01213501,0.817845852
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-82.68188334,185.8700199,-494.3059466,18.96103844,0.679152503
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,93.15948391,161.8065519,-374.4063265,18.97645042,0.591245437
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,25.83675289,48.97631836,-426.5888979,18.98486741,0.590610349
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-78.74807215,49.36254454,-434.2325289,18.99072668,0.551436584
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,93.29647923,177.4861259,-446.687073,18.91569243,0.530047044
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-62.7998004,209.1543598,-530.5770037,19.00225767,0.387688949
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,-67.27650357,-108.8850033,-98.71965416,19.25754805,0.998335392
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,88.45562073,-112.2670483,-171.5304302,19.18663743,0.924788997
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,63.02889766,-52.97438917,-204.2218588,19.26250607,0.86903456
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,-75.70912732,-185.2384497,-151.81595,19.15469893,0.658260977
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,-35.58043657,-212.9980039,-227.4687349,19.26183227,0.633896584
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,59.76482066,-136.6692592,-127.2025699,19.19443202,0.548980059
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,-70.82877202,-111.9597283,-96.05590299,19.26164269,0.541856145
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,43.43979689,-141.1232692,-56.44749912,19.16293156,0.536852565
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,3.412658295,-208.7093164,-171.7758297,19.26592293,0.42860891
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,-23.75787539,-216.2324988,-227.6602053,19.19830311,0.377377575
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,52.21778484,-89.17378751,-87.77837322,19.2622374,0.323013738
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,64.44544824,-220.3373991,-220.2572055,19.16422886,0.31387598
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,40.61971041,-141.0345432,-59.11454009,19.26739975,0.303076181
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-86.83045448,15.02817869,-71.83078003,19.09790164,0.99979184
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-83.77278628,-41.94042683,-146.9057674,19.10043857,0.999657941
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-70.75934471,55.61717749,-83.2918663,19.10038918,0.998752518
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,100.1580506,-25.08582711,-199.4232721,19.1096922,0.997925732
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-47.49923052,-22.09236026,-83.4286232,19.10825337,0.960261232
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,60.78948079,74.6688509,-230.8875532,19.1687331,0.939648878
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-120.1031214,63.04942846,-255.6043143,19.05678603,0.90804087
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,80.00142156,22.5410223,-202.8301401,19.16856672,0.857880723
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-31.11995162,-82.29226351,-195.7451077,19.10709781,0.81480277
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-92.22837748,46.88212156,-64.03952789,19.1743101,0.796117529
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,23.77962886,66.22448444,-232.0311947,19.07666409,0.710519713
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-55.28353991,-12.91359901,-99.39780426,19.17790536,0.665783834
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-135.092656,50.80705881,-203.8656921,19.12321437,0.62884271
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-48.1250626,-9.4716537,-87.5034256,19.18895453,0.624102462
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-132.1222484,54.19562101,-207.0191212,19.09506416,0.589908832
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-39.85589923,-85.44590592,-207.6192112,19.19388974,0.48973402
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-120.0595075,50.13727188,-147.5686092,19.13779981,0.489286379
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-71.65841283,-61.86557174,-127.2326488,19.20314529,0.47061857
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-7.329861537,54.044559,-247.4960918,19.10762213,0.427257022
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-56.43340768,18.88888836,-119.3115253,19.20601472,0.345752881
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-52.51400413,-10.08751988,-99.61686325,19.14813893,0.317893042
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,104.1099745,-9.756835699,-211.3181229,19.21869377,0.311335148
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-55.28414311,-93.1882143,-215.4889269,19.11858038,0.310664608
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,119.0823747,21.21952057,-155.9570084,19.11076291,0.999963194
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,99.5013238,66.27946854,-91.83490372,19.13513062,0.990750524
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-4.779949085,-22.43545532,-101.0762367,19.18597229,0.985582784
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-25.2819251,-6.531190872,-184.1076813,19.09525224,0.969109134
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,46.82130824,-6.283817291,-67.92556381,19.2258605,0.897838029
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-4.567928211,-19.11740303,-104.0102539,19.20332814,0.78383289
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-49.24066533,-58.6934948,-219.8949013,19.11773712,0.782956493
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,98.81973277,-46.78354263,-243.8616524,19.17873427,0.684110282
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,119.1264726,36.79479599,-200.502449,19.25828197,0.657200341
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-9.092864887,81.17389679,-147.9542503,19.20409847,0.553983763
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,114.9142839,-22.74724007,-196.1423264,19.10357333,0.473800366
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-32.46705999,-62.70544052,-172.3126183,19.23429741,0.420357772
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,114.9717332,57.26831436,-272.0188103,19.23260617,0.400899885
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-28.45250119,-3.228607178,-180.5357895,19.06479306,0.372959812
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-52.9174913,-51.43850327,-138.5337546,19.24653439,0.999836216
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-41.05261098,-53.26771617,-129.1309646,19.16602289,0.998998748
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-36.40501867,-72.32868433,-201.6965535,19.242575,0.996736179
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-32.25067387,64.05366182,-65.83463697,19.24119556,0.98239232
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,2.926701204,31.52441025,-197.0822051,19.17131243,0.947256528
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,67.00262536,76.025455,-113.0027965,19.24661383,0.919814433
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,35.21690358,-75.73498249,-137.1017364,19.13834365,0.900933932
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-64.02786623,91.49755239,-196.8525413,19.24018793,0.818901049
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-4.293826922,-79.85299945,-185.0290063,19.22549824,0.782355761
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-85.30590008,-16.63930893,-77.80689268,19.14412477,0.757454017
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,131.2830519,55.13621807,-184.7327855,19.2146923,0.697154421
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-104.6660794,-0.368943214,-124.8740771,19.24719761,0.671785308
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-77.22216736,-32.60513663,-108.9294627,19.31498087,0.644735861
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-20.90212952,67.41225958,-205.6219533,19.41325891,0.62809301
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-12.88680921,39.72774267,-68.97546797,19.26844643,0.560877154
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-96.65499698,23.68551493,-145.2486232,19.42441487,0.428602975
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,-76.98510836,55.16085148,-129.1704658,19.30801123,0.403137575
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,75.13019075,-1.108868122,-36.96590452,19.40903342,0.339863427
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,139.349935,23.12469721,-109.1412166,19.26731175,0.333916876
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-40.02842879,180.1656809,-442.2026367,18.79393627,0.999266619
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-121.1021423,178.8114069,-530.4245758,18.75128271,0.997782302
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,50.8631314,139.9546878,-594.4166412,18.8110297,0.990655735
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-77.33615664,212.3670638,-494.4784088,18.78446221,0.963498302
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,142.154548,107.7444952,-590.2845306,18.82583864,0.954760016
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-64.94700336,216.2942982,-490.6647339,18.78101893,0.935589387
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,109.9647726,196.6566079,-486.5643005,18.84052721,0.881844711
